DATE,TOTLL
1973-01-03,405.2513
1973-01-10,403.8754
1973-01-17,404.0137
1973-01-24,404.4657
1973-01-31,408.2189
1973-02-07,411.2574
1973-02-14,414.4707
1973-02-21,417.0752
1973-02-28,419.675
1973-03-07,423.6177
1973-03-14,424.7211
1973-03-21,426.0967
1973-03-28,427.9261
1973-04-04,429.2632
1973-04-11,430.5142
1973-04-18,430.9877
1973-04-25,432.7591
1973-05-02,435.2229
1973-05-09,436.6181
1973-05-16,438.1578
1973-05-23,439.3085
1973-05-30,441.496
1973-06-06,443.504
1973-06-13,444.9381
1973-06-20,446.1901
1973-06-27,447.9146
1973-07-04,449.2843
1973-07-11,452.3771
1973-07-18,451.8181
1973-07-25,453.1993
1973-08-01,456.3787
1973-08-08,457.9295
1973-08-15,460.1471
1973-08-22,458.0849
1973-08-29,458.6401
1973-09-05,461.1564
1973-09-12,461.2267
1973-09-19,461.6463
1973-09-26,462.8681
1973-10-03,463.4614
1973-10-10,465.1631
1973-10-17,463.4613
1973-10-24,464.5764
1973-10-31,465.1642
1973-11-07,467.9222
1973-11-14,466.1887
1973-11-21,466.732
1973-11-28,467.7622
1973-12-05,469.7715
1973-12-12,471.3776
1973-12-19,473.711
1973-12-26,478.5158
1974-01-02,477.3899
1974-01-09,474.9434
1974-01-16,476.0814
1974-01-23,476.4812
1974-01-30,476.4654
1974-02-06,478.5762
1974-02-13,479.0208
1974-02-20,479.9662
1974-02-27,481.2433
1974-03-06,483.8841
1974-03-13,484.7831
1974-03-20,487.7928
1974-03-27,491.0192
1974-04-03,495.8308
1974-04-10,497.1404
1974-04-17,499.9603
1974-04-24,500.8513
1974-05-01,504.9028
1974-05-08,503.9202
1974-05-15,506.4907
1974-05-22,506.7751
1974-05-29,508.1148
1974-06-05,509.9054
1974-06-12,511.2032
1974-06-19,513.5159
1974-06-26,515.5043
1974-07-03,518.343
1974-07-10,518.8647
1974-07-17,519.5636
1974-07-24,519.7178
1974-07-31,522.6358
1974-08-07,522.5347
1974-08-14,522.7329
1974-08-21,523.6203
1974-08-28,524.8959
1974-09-04,525.4395
1974-09-11,526.5945
1974-09-18,526.775
1974-09-25,525.3017
1974-10-02,526.3918
1974-10-09,527.0754
1974-10-16,526.829
1974-10-23,526.7374
1974-10-30,526.3095
1974-11-06,526.383
1974-11-13,527.7432
1974-11-20,527.3227
1974-11-27,527.9418
1974-12-04,530.5922
1974-12-11,530.075
1974-12-18,530.8588
1974-12-25,531.2668
1975-01-01,533.9546
1975-01-08,530.1415
1975-01-15,528.7587
1975-01-22,526.3015
1975-01-29,525.9956
1975-02-05,526.162
1975-02-12,522.7311
1975-02-19,524.6049
1975-02-26,524.0059
1975-03-05,525.0892
1975-03-12,524.5841
1975-03-19,523.7891
1975-03-26,521.5394
1975-04-02,521.057
1975-04-09,521.4134
1975-04-16,522.3294
1975-04-23,521.3809
1975-04-30,522.2285
1975-05-07,521.8477
1975-05-14,520.5615
1975-05-21,520.8456
1975-05-28,520.8124
1975-06-04,521.3035
1975-06-11,521.5637
1975-06-18,521.0327
1975-06-25,521.0319
1975-07-02,521.2839
1975-07-09,521.7142
1975-07-16,519.8254
1975-07-23,519.3737
1975-07-30,519.876
1975-08-06,520.2997
1975-08-13,519.662
1975-08-20,520.1609
1975-08-27,519.337
1975-09-03,520.651
1975-09-10,520.6242
1975-09-17,520.6982
1975-09-24,520.5455
1975-10-01,523.2782
1975-10-08,522.7291
1975-10-15,522.6914
1975-10-22,521.9829
1975-10-29,521.9478
1975-11-05,520.6856
1975-11-12,520.7975
1975-11-19,520.6855
1975-11-26,525.0498
1975-12-03,525.0841
1975-12-10,526.1753
1975-12-17,527.9088
1975-12-24,529.5854
1975-12-31,531.8799
1976-01-07,525.4344
1976-01-14,524.7938
1976-01-21,524.7092
1976-01-28,524.4983
1976-02-04,525.3225
1976-02-11,524.79
1976-02-18,526.3591
1976-02-25,526.143
1976-03-03,527.4211
1976-03-10,530.3087
1976-03-17,529.1657
1976-03-24,529.6656
1976-03-31,530.1642
1976-04-07,528.3391
1976-04-14,529.5974
1976-04-21,531.3263
1976-04-28,532.4004
1976-05-05,532.1017
1976-05-12,532.682
1976-05-19,534.7834
1976-05-26,536.1728
1976-06-02,538.5042
1976-06-09,539.0904
1976-06-16,539.791
1976-06-23,540.3052
1976-06-30,544.0911
1976-07-07,541.3488
1976-07-14,541.8227
1976-07-21,542.6892
1976-07-28,542.2282
1976-08-04,541.732
1976-08-11,544.6682
1976-08-18,545.657
1976-08-25,545.7956
1976-09-01,547.353
1976-09-08,545.8276
1976-09-15,548.5136
1976-09-22,549.7572
1976-09-29,550.6371
1976-10-06,553.69
1976-10-13,552.2662
1976-10-20,555.0715
1976-10-27,556.2426
1976-11-03,557.4972
1976-11-10,556.6424
1976-11-17,558.8401
1976-11-24,559.2975
1976-12-01,562.4357
1976-12-08,563.9993
1976-12-15,566.1562
1976-12-22,567.2878
1976-12-29,568.6532
1977-01-05,566.3727
1977-01-12,566.2797
1977-01-19,567.1232
1977-01-26,566.4782
1977-02-02,568.3719
1977-02-09,568.6734
1977-02-16,570.6925
1977-02-23,570.8971
1977-03-02,573.6499
1977-03-09,574.7988
1977-03-16,577.5759
1977-03-23,577.9474
1977-03-30,578.8251
1977-04-06,580.7949
1977-04-13,581.7928
1977-04-20,584.2858
1977-04-27,586.1248
1977-05-04,588.1737
1977-05-11,589.3938
1977-05-18,591.5838
1977-05-25,593.1342
1977-06-01,595.6154
1977-06-08,595.62
1977-06-15,598.4628
1977-06-22,599.003
1977-06-29,601.8468
1977-07-06,601.9541
1977-07-13,603.26
1977-07-20,605.7823
1977-07-27,607.0673
1977-08-03,609.2086
1977-08-10,612.1417
1977-08-17,612.269
1977-08-24,612.7531
1977-08-31,615.8453
1977-09-07,617.6671
1977-09-14,618.6789
1977-09-21,620.9311
1977-09-28,622.7093
1977-10-05,623.7799
1977-10-12,626.3189
1977-10-19,628.2981
1977-10-26,629.531
1977-11-02,631.6023
1977-11-09,632.8674
1977-11-16,634.0208
1977-11-23,634.4084
1977-11-30,636.739
1977-12-07,639.1679
1977-12-14,640.9282
1977-12-21,645.1874
1977-12-28,647.3474
1978-01-04,648.2324
1978-01-11,649.253
1978-01-18,647.2603
1978-01-25,649.7086
1978-02-01,651.4091
1978-02-08,654.1129
1978-02-15,653.525
1978-02-22,654.3362
1978-03-01,658.6992
1978-03-08,660.532
1978-03-15,664.391
1978-03-22,665.2717
1978-03-29,668.3848
1978-04-05,670.5663
1978-04-12,671.6989
1978-04-19,674.3435
1978-04-26,676.2179
1978-05-03,677.8441
1978-05-10,679.8077
1978-05-17,683.04
1978-05-24,685.5617
1978-05-31,690.9734
1978-06-07,692.5342
1978-06-14,693.0871
1978-06-21,696.9549
1978-06-28,700.9812
1978-07-05,703.1957
1978-07-12,704.125
1978-07-19,705.111
1978-07-26,708.0413
1978-08-02,708.727
1978-08-09,708.97
1978-08-16,711.9087
1978-08-23,713.5355
1978-08-30,715.5906
1978-09-06,718.1538
1978-09-13,719.641
1978-09-20,723.7279
1978-09-27,727.1127
1978-10-04,728.1256
1978-10-11,731.4652
1978-10-18,732.5183
1978-10-25,735.5919
1978-11-01,741.0093
1978-11-08,740.37
1978-11-15,743.966
1978-11-22,747.0427
1978-11-29,748.9072
1978-12-06,750.77
1978-12-13,753.0138
1978-12-20,757.6038
1978-12-27,760.0423
1979-01-03,752.6921
1979-01-10,756.1614
1979-01-17,756.1406
1979-01-24,760.0436
1979-01-31,760.8882
1979-02-07,762.2219
1979-02-14,763.614
1979-02-21,765.6733
1979-02-28,767.8526
1979-03-07,769.7998
1979-03-14,771.8983
1979-03-21,775.7764
1979-03-28,778.4001
1979-04-04,781.1447
1979-04-11,785.5305
1979-04-18,787.272
1979-04-25,789.7095
1979-05-02,791.5281
1979-05-09,794.1836
1979-05-16,797.1913
1979-05-23,800.0712
1979-05-30,801.8785
1979-06-06,806.3701
1979-06-13,808.6355
1979-06-20,812.792
1979-06-27,815.9229
1979-07-04,819.2054
1979-07-11,823.3991
1979-07-18,823.4302
1979-07-25,827.0533
1979-08-01,827.4579
1979-08-08,829.0595
1979-08-15,830.9458
1979-08-22,832.7871
1979-08-29,833.7022
1979-09-05,838.3234
1979-09-12,840.7664
1979-09-19,845.8771
1979-09-26,846.1748
1979-10-03,846.3923
1979-10-10,849.7374
1979-10-17,848.3289
1979-10-24,848.9161
1979-10-31,848.904
1979-11-07,846.8838
1979-11-14,847.6015
1979-11-21,846.7355
1979-11-28,845.1818
1979-12-05,849.1693
1979-12-12,850.4042
1979-12-19,852.2452
1979-12-26,853.9837
1980-01-02,855.3339
1980-01-09,856.9729
1980-01-16,857.1018
1980-01-23,858.7128
1980-01-30,858.2544
1980-02-06,863.8027
1980-02-13,866.2159
1980-02-20,870.6795
1980-02-27,870.4428
1980-03-05,873.9314
1980-03-12,875.77
1980-03-19,876.3547
1980-03-26,876.5214
1980-04-02,880.418
1980-04-09,878.7604
1980-04-16,876.6097
1980-04-23,876.2627
1980-04-30,875.2245
1980-05-07,871.6701
1980-05-14,871.618
1980-05-21,870.1576
1980-05-28,869.172
1980-06-04,866.6716
1980-06-11,866.7817
1980-06-18,866.8419
1980-06-25,867.0879
1980-07-02,866.6045
1980-07-09,868.4048
1980-07-16,869.546
1980-07-23,871.4084
1980-07-30,870.8815
1980-08-06,873.7996
1980-08-13,875.0613
1980-08-20,876.9726
1980-08-27,878.3948
1980-09-03,877.7523
1980-09-10,879.9276
1980-09-17,880.2068
1980-09-24,881.6621
1980-10-01,885.4679
1980-10-08,886.7868
1980-10-15,890.4385
1980-10-22,893.1684
1980-10-29,896.0304
1980-11-05,900.3315
1980-11-12,902.3814
1980-11-19,904.0261
1980-11-26,907.6214
1980-12-03,908.676
1980-12-10,914.0906
1980-12-17,914.0923
1980-12-24,914.0663
1980-12-31,914.9793
1981-01-07,915.6737
1981-01-14,918.1795
1981-01-21,919.3118
1981-01-28,921.1815
1981-02-04,921.5432
1981-02-11,921.3798
1981-02-18,922.4461
1981-02-25,923.6717
1981-03-04,924.2572
1981-03-11,924.1439
1981-03-18,924.7589
1981-03-25,926.0371
1981-04-01,928.4188
1981-04-08,928.0948
1981-04-15,932.0125
1981-04-22,933.1346
1981-04-29,936.9303
1981-05-06,941.5499
1981-05-13,942.7888
1981-05-20,944.8489
1981-05-27,947.2312
1981-06-03,948.9635
1981-06-10,948.526
1981-06-17,952.2168
1981-06-24,953.0906
1981-07-01,957.4697
1981-07-08,954.7067
1981-07-15,957.575
1981-07-22,959.2247
1981-07-29,961.0671
1981-08-05,965.6056
1981-08-12,965.5008
1981-08-19,963.5269
1981-08-26,967.2444
1981-09-02,969.4511
1981-09-09,970.6098
1981-09-16,970.5356
1981-09-23,970.1954
1981-09-30,977.7136
1981-10-07,974.732
1981-10-14,976.1044
1981-10-21,978.7099
1981-10-28,976.7286
1981-11-04,978.7947
1981-11-11,981.2706
1981-11-18,982.908
1981-11-25,986.5682
1981-12-02,987.6853
1981-12-09,978.308
1981-12-16,978.8576
1981-12-23,975.6742
1981-12-30,978.4783
1982-01-06,979.9077
1982-01-13,982.8815
1982-01-20,982.7984
1982-01-27,988.3518
1982-02-03,990.7041
1982-02-10,993.9093
1982-02-17,995.1981
1982-02-24,999.0081
1982-03-03,997.7652
1982-03-10,1000.4735
1982-03-17,1001.0884
1982-03-24,1003.1317
1982-03-31,1007.3225
1982-04-07,1011.8991
1982-04-14,1012.003
1982-04-21,1012.095
1982-04-28,1012.9009
1982-05-05,1016.3843
1982-05-12,1018.5725
1982-05-19,1019.0894
1982-05-26,1024.8039
1982-06-02,1024.8976
1982-06-09,1027.6007
1982-06-16,1026.7776
1982-06-23,1026.331
1982-06-30,1029.0985
1982-07-07,1029.1929
1982-07-14,1032.8313
1982-07-21,1032.1448
1982-07-28,1034.5305
1982-08-04,1034.2309
1982-08-11,1034.4095
1982-08-18,1036.5812
1982-08-25,1037.2979
1982-09-01,1040.9744
1982-09-08,1040.0157
1982-09-15,1042.4257
1982-09-22,1043.5921
1982-09-29,1044.7932
1982-10-06,1046.668
1982-10-13,1049.0729
1982-10-20,1050.1448
1982-10-27,1050.0604
1982-11-03,1048.5718
1982-11-10,1047.9031
1982-11-17,1047.2491
1982-11-24,1047.7692
1982-12-01,1046.8604
1982-12-08,1049.5718
1982-12-15,1049.4958
1982-12-22,1049.8666
1982-12-29,1045.7691
1983-01-05,1049.6536
1983-01-12,1052.2519
1983-01-19,1053.97
1983-01-26,1056.7632
1983-02-02,1056.4365
1983-02-09,1055.2664
1983-02-16,1053.703
1983-02-23,1054.5771
1983-03-02,1060.3501
1983-03-09,1058.1329
1983-03-16,1060.5494
1983-03-23,1061.5414
1983-03-30,1063.6204
1983-04-06,1063.4552
1983-04-13,1062.8151
1983-04-20,1065.5535
1983-04-27,1064.6518
1983-05-04,1064.4885
1983-05-11,1066.4944
1983-05-18,1066.3888
1983-05-25,1068.3041
1983-06-01,1074.0172
1983-06-08,1073.6673
1983-06-15,1076.2505
1983-06-22,1075.7863
1983-06-29,1077.5261
1983-07-06,1080.2956
1983-07-13,1082.7207
1983-07-20,1086.3675
1983-07-27,1089.3536
1983-08-03,1091.8481
1983-08-10,1094.8257
1983-08-17,1095.9151
1983-08-24,1098.9726
1983-08-31,1100.7614
1983-09-07,1102.1713
1983-09-14,1101.3231
1983-09-21,1105.8732
1983-09-28,1104.962
1983-10-05,1108.1133
1983-10-12,1114.1834
1983-10-19,1112.7933
1983-10-26,1119.0331
1983-11-02,1120.8137
1983-11-09,1125.6015
1983-11-16,1126.66
1983-11-23,1127.7148
1983-11-30,1130.1148
1983-12-07,1133.4237
1983-12-14,1135.5044
1983-12-21,1136.4697
1983-12-28,1137.065
1984-01-04,1134.8146
1984-01-11,1139.5594
1984-01-18,1139.2319
1984-01-25,1143.2398
1984-02-01,1148.7085
1984-02-08,1153.6224
1984-02-15,1161.6443
1984-02-22,1163.785
1984-02-29,1166.3845
1984-03-07,1168.832
1984-03-14,1170.3455
1984-03-21,1172.927
1984-03-28,1173.2553
1984-04-04,1182.5304
1984-04-11,1183.4899
1984-04-18,1188.9726
1984-04-25,1193.1479
1984-05-02,1196.0048
1984-05-09,1202.2283
1984-05-16,1204.1286
1984-05-23,1209.5484
1984-05-30,1210.7591
1984-06-06,1216.6543
1984-06-13,1215.7115
1984-06-20,1221.1892
1984-06-27,1222.6509
1984-07-04,1227.802
1984-07-11,1231.0218
1984-07-18,1231.2658
1984-07-25,1238.0131
1984-08-01,1238.0446
1984-08-08,1239.3145
1984-08-15,1242.9599
1984-08-22,1243.7518
1984-08-29,1244.2182
1984-09-05,1247.9188
1984-09-12,1253.3796
1984-09-19,1255.8144
1984-09-26,1254.6898
1984-10-03,1256.735
1984-10-10,1263.8816
1984-10-17,1263.0009
1984-10-24,1267.4128
1984-10-31,1274.869
1984-11-07,1278.5383
1984-11-14,1281.4147
1984-11-21,1282.2059
1984-11-28,1279.1076
1984-12-05,1288.9873
1984-12-12,1291.7
1984-12-19,1297.7097
1984-12-26,1296.5213
1985-01-02,1297.5693
1985-01-09,1299.9084
1985-01-16,1300.3484
1985-01-23,1304.8389
1985-01-30,1305.2297
1985-02-06,1309.5535
1985-02-13,1311.5557
1985-02-20,1316.0193
1985-02-27,1319.1607
1985-03-06,1322.7172
1985-03-13,1324.0842
1985-03-20,1327.2778
1985-03-27,1327.7801
1985-04-03,1327.9001
1985-04-10,1327.5164
1985-04-17,1323.9598
1985-04-24,1328.2211
1985-05-01,1331.3015
1985-05-08,1336.086
1985-05-15,1340.4353
1985-05-22,1340.6561
1985-05-29,1341.1113
1985-06-05,1345.5985
1985-06-12,1347.8572
1985-06-19,1353.1935
1985-06-26,1353.0977
1985-07-03,1357.602
1985-07-10,1359.806
1985-07-17,1363.0312
1985-07-24,1364.5925
1985-07-31,1368.8273
1985-08-07,1369.0146
1985-08-14,1369.838
1985-08-21,1375.2694
1985-08-28,1374.4037
1985-09-04,1381.7672
1985-09-11,1384.5869
1985-09-18,1385.9096
1985-09-25,1387.4102
1985-10-02,1386.3924
1985-10-09,1390.5198
1985-10-16,1387.796
1985-10-23,1386.8682
1985-10-30,1393.9334
1985-11-06,1398.9601
1985-11-13,1400.376
1985-11-20,1410.0913
1985-11-27,1411.0446
1985-12-04,1411.2486
1985-12-11,1413.9015
1985-12-18,1419.356
1985-12-25,1417.7764
1986-01-01,1426.1055
1986-01-08,1428.781
1986-01-15,1432.1244
1986-01-22,1430.1044
1986-01-29,1427.3226
1986-02-05,1431.0998
1986-02-12,1430.9313
1986-02-19,1435.9668
1986-02-26,1435.5692
1986-03-05,1442.5405
1986-03-12,1447.1186
1986-03-19,1451.7575
1986-03-26,1453.7691
1986-04-02,1455.0411
1986-04-09,1455.7404
1986-04-16,1459.1687
1986-04-23,1457.6363
1986-04-30,1462.9753
1986-05-07,1461.1449
1986-05-14,1465.3049
1986-05-21,1465.692
1986-05-28,1466.8669
1986-06-04,1467.1781
1986-06-11,1469.8525
1986-06-18,1470.0696
1986-06-25,1476.5046
1986-07-02,1478.4282
1986-07-09,1481.0932
1986-07-16,1484.727
1986-07-23,1486.7146
1986-07-30,1487.545
1986-08-06,1491.2773
1986-08-13,1489.7681
1986-08-20,1496.4108
1986-08-27,1501.1146
1986-09-03,1503.4384
1986-09-10,1501.5364
1986-09-17,1505.4277
1986-09-24,1505.6189
1986-10-01,1510.5205
1986-10-08,1505.3267
1986-10-15,1507.6374
1986-10-22,1508.748
1986-10-29,1509.0625
1986-11-05,1515.3989
1986-11-12,1523.5685
1986-11-19,1522.7897
1986-11-26,1533.3448
1986-12-03,1535.6116
1986-12-10,1540.6538
1986-12-17,1545.3851
1986-12-24,1565.0491
1986-12-31,1580.9775
1987-01-07,1576.5343
1987-01-14,1570.3073
1987-01-21,1573.957
1987-01-28,1578.1264
1987-02-04,1573.008
1987-02-11,1572.953
1987-02-18,1574.8844
1987-02-25,1578.8956
1987-03-04,1580.0344
1987-03-11,1580.443
1987-03-18,1585.4588
1987-03-25,1587.3593
1987-04-01,1594.0669
1987-04-08,1598.1184
1987-04-15,1606.0083
1987-04-22,1607.4605
1987-04-29,1606.6045
1987-05-06,1605.902
1987-05-13,1605.8139
1987-05-20,1611.8378
1987-05-27,1611.6023
1987-06-03,1610.8828
1987-06-10,1615.2673
1987-06-17,1616.9158
1987-06-24,1617.2872
1987-07-01,1613.7629
1987-07-08,1617.0932
1987-07-15,1620.4515
1987-07-22,1618.4712
1987-07-29,1621.7541
1987-08-05,1622.5568
1987-08-12,1627.3403
1987-08-19,1626.9799
1987-08-26,1630.9601
1987-09-02,1633.3413
1987-09-09,1641.371
1987-09-16,1647.7615
1987-09-23,1648.3245
1987-09-30,1658.7759
1987-10-07,1654.145
1987-10-14,1656.2555
1987-10-21,1666.5264
1987-10-28,1667.5864
1987-11-04,1661.6406
1987-11-11,1661.8504
1987-11-18,1663.0999
1987-11-25,1663.4658
1987-12-02,1666.0208
1987-12-09,1671.9293
1987-12-16,1673.1528
1987-12-23,1674.8921
1987-12-30,1674.1679
1988-01-06,1681.712
1988-01-13,1683.3909
1988-01-20,1683.239
1988-01-27,1688.8822
1988-02-03,1692.369
1988-02-10,1690.5416
1988-02-17,1693.8126
1988-02-24,1694.7578
1988-03-02,1700.9331
1988-03-09,1703.8075
1988-03-16,1705.7568
1988-03-23,1709.1408
1988-03-30,1711.1257
1988-04-06,1722.5535
1988-04-13,1717.0847
1988-04-20,1721.1623
1988-04-27,1726.1804
1988-05-04,1732.1778
1988-05-11,1737.4049
1988-05-18,1736.8141
1988-05-25,1742.0177
1988-06-01,1746.8505
1988-06-08,1747.4899
1988-06-15,1750.7058
1988-06-22,1756.1748
1988-06-29,1758.8375
1988-07-06,1767.8892
1988-07-13,1767.5883
1988-07-20,1770.2716
1988-07-27,1770.4156
1988-08-03,1771.657
1988-08-10,1778.2033
1988-08-17,1778.8268
1988-08-24,1779.6446
1988-08-31,1782.1281
1988-09-07,1782.669
1988-09-14,1782.4012
1988-09-21,1788.018
1988-09-28,1786.8225
1988-10-05,1793.3594
1988-10-12,1798.3312
1988-10-19,1796.4869
1988-10-26,1796.2807
1988-11-02,1803.0089
1988-11-09,1805.1897
1988-11-16,1808.4662
1988-11-23,1813.9347
1988-11-30,1813.5259
1988-12-07,1817.7759
1988-12-14,1816.9154
1988-12-21,1820.7929
1988-12-28,1818.9639
